t_s,R_m,U_m_s,T_g_K,p_g_pa,p_inf_pa,delta_T_m,Q_out_W
1.206e-06,6.69701e-06,0.948222,273.315,84014.2,61143.7,6.69701e-06,-4.34004e-05
1.216e-06,6.70648e-06,0.947296,273.291,83651,60877.6,6.70648e-06,-4.35141e-05
1.226e-06,6.71595e-06,0.946281,273.271,83291.5,60613.2,6.71595e-06,-4.36196e-05
1.236e-06,6.72541e-06,0.945179,273.255,82935.5,60350.4,6.72541e-06,-4.37168e-05
1.246e-06,6.73485e-06,0.943995,273.242,82583.1,60089.2,6.73485e-06,-4.38061e-05
1.256e-06,6.74429e-06,0.942732,273.233,82234.2,59829.6,6.74429e-06,-4.38874e-05
1.266e-06,6.75371e-06,0.941391,273.228,81888.7,59571.6,6.75371e-06,-4.39611e-05
1.276e-06,6.76312e-06,0.939978,273.225,81546.7,59315.3,6.76312e-06,-4.40272e-05
1.286e-06,6.77251e-06,0.938494,273.226,81208.1,59060.7,6.77251e-06,-4.40859e-05
1.296e-06,6.78189e-06,0.936943,273.231,80872.8,58807.7,6.78189e-06,-4.41374e-05
1.306e-06,6.79125e-06,0.935326,273.238,80540.9,58556.4,6.79125e-06,-4.41817e-05
1.316e-06,6.80059e-06,0.933648,273.249,80212.3,58306.8,6.80059e-06,-4.42192e-05
1.326e-06,6.80992e-06,0.93191,273.262,79886.9,58058.9,6.80992e-06,-4.42499e-05
1.336e-06,6.81923e-06,0.930115,273.279,79564.8,57812.7,6.81923e-06,-4.4274e-05
1.346e-06,6.82852e-06,0.928266,273.298,79245.8,57568.3,6.82852e-06,-4.42917e-05
1.356e-06,6.83779e-06,0.926363,273.319,78930,57325.5,6.83779e-06,-4.43031e-05
1.366e-06,6.84705e-06,0.924411,273.344,78617.4,57084.5,6.84705e-06,-4.43083e-05
1.376e-06,6.85628e-06,0.922411,273.371,78307.8,56845.2,6.85628e-06,-4.43076e-05
1.386e-06,6.8655e-06,0.920364,273.4,78001.2,56607.7,6.8655e-06,-4.4301e-05
1.396e-06,6.87469e-06,0.918273,273.432,77697.6,56372,6.87469e-06,-4.42888e-05
1.406e-06,6.88386e-06,0.91614,273.466,77397,56138,6.88386e-06,-4.4271e-05
1.416e-06,6.89301e-06,0.913966,273.503,77099.3,55905.8,6.89301e-06,-4.42479e-05
1.426e-06,6.90214e-06,0.911753,273.541,76804.5,55675.4,6.90214e-06,-4.42195e-05
1.436e-06,6.91125e-06,0.909502,273.582,76512.6,55446.8,6.91125e-06,-4.4186e-05
1.446e-06,6.92033e-06,0.907216,273.625,76223.5,55220,6.92033e-06,-4.41476e-05
1.456e-06,6.92939e-06,0.904895,273.669,75937.1,54995.1,6.92939e-06,-4.41044e-05
1.466e-06,6.93843e-06,0.902541,273.716,75653.5,54772,6.93843e-06,-4.40565e-05
1.476e-06,6.94744e-06,0.900155,273.764,75372.6,54550.7,6.94744e-06,-4.40041e-05
1.486e-06,6.95643e-06,0.897738,273.814,75094.4,54331.2,6.95643e-06,-4.39473e-05
