t_s,R_m,U_m_s,T_g_K,p_g_pa,p_inf_pa,delta_T_m,Q_out_W
1.206e-06,5.78899e-06,-0.172434,300.056,142832,115355,5.78899e-06,1.30619e-05
1.216e-06,5.78729e-06,-0.167792,300.008,142935,115448,5.78729e-06,1.29674e-05
1.226e-06,5.78563e-06,-0.163151,299.957,143033,115540,5.78563e-06,1.28671e-05
1.236e-06,5.78402e-06,-0.158518,299.903,143127,115632,5.78402e-06,1.27613e-05
1.246e-06,5.78246e-06,-0.153901,299.846,143216,115723,5.78246e-06,1.26501e-05
1.256e-06,5.78094e-06,-0.149307,299.786,143300,115814,5.78094e-06,1.25338e-05
1.266e-06,5.77947e-06,-0.144742,299.723,143380,115904,5.77947e-06,1.24125e-05
1.276e-06,5.77805e-06,-0.140212,299.658,143455,115993,5.77805e-06,1.22865e-05
1.286e-06,5.77667e-06,-0.135726,299.591,143525,116082,5.77667e-06,1.21561e-05
1.296e-06,5.77533e-06,-0.131288,299.521,143591,116170,5.77533e-06,1.20213e-05
1.306e-06,5.77404e-06,-0.126906,299.449,143653,116258,5.77404e-06,1.18826e-05
1.316e-06,5.7728e-06,-0.122585,299.374,143711,116345,5.7728e-06,1.174e-05
1.326e-06,5.77159e-06,-0.118332,299.298,143764,116432,5.77159e-06,1.15939e-05
1.336e-06,5.77043e-06,-0.114152,299.22,143813,116518,5.77043e-06,1.14444e-05
1.346e-06,5.76931e-06,-0.110051,299.14,143859,116603,5.76931e-06,1.12919e-05
1.356e-06,5.76823e-06,-0.106033,299.059,143901,116688,5.76823e-06,1.11366e-05
1.366e-06,5.76719e-06,-0.102105,298.976,143939,116772,5.76719e-06,1.09787e-05
1.376e-06,5.76619e-06,-0.0982712,298.892,143973,116856,5.76619e-06,1.08185e-05
1.386e-06,5.76522e-06,-0.0945358,298.807,144005,116939,5.76522e-06,1.06562e-05
1.396e-06,5.76429e-06,-0.0909034,298.721,144033,117021,5.76429e-06,1.04922e-05
1.406e-06,5.7634e-06,-0.0873781,298.634,144058,117103,5.7634e-06,1.03266e-05
1.416e-06,5.76255e-06,-0.0839639,298.546,144079,117184,5.76255e-06,1.01597e-05
1.426e-06,5.76172e-06,-0.0806644,298.458,144099,117264,5.76172e-06,9.99178e-06
1.436e-06,5.76093e-06,-0.0774828,298.369,144115,117344,5.76093e-06,9.82308e-06
1.446e-06,5.76017e-06,-0.0744223,298.28,144129,117423,5.76017e-06,9.65385e-06
1.456e-06,5.75944e-06,-0.0714857,298.19,144141,117502,5.75944e-06,9.48433e-06
1.466e-06,5.75874e-06,-0.0686754,298.101,144150,117580,5.75874e-06,9.31478e-06
1.476e-06,5.75807e-06,-0.0659937,298.011,144157,117657,5.75807e-06,9.14544e-06
1.486e-06,5.75742e-06,-0.0634425,297.922,144163,117733,5.75742e-06,8.97654e-06
1.496e-06,5.7568e-06,-0.0610236,297.833,144166,117809,5.7568e-06,8.80831e-06
1.506e-06,5.7562e-06,-0.0587382,297.745,144169,117885,5.7562e-06,8.641e-06
1.516e-06,5.75563e-06,-0.0565875,297.657,144169,117959,5.75563e-06,8.47483e-06
1.526e-06,5.75507e-06,-0.0545724,297.569,144169,118033,5.75507e-06,8.31001e-06
1.536e-06,5.75453e-06,-0.0526933,297.483,144167,118107,5.75453e-06,8.14676e-06
1.546e-06,5.75402e-06,-0.0509506,297.398,144165,118180,5.75402e-06,7.98528e-06
1.556e-06,5.75351e-06,-0.0493442,297.313,144162,118252,5.75351e-06,7.82579e-06
1.566e-06,5.75303e-06,-0.0478739,297.23,144158,118323,5.75303e-06,7.66847e-06
1.576e-06,5.75256e-06,-0.0465392,297.148,144153,118394,5.75256e-06,7.51351e-06
1.586e-06,5.7521e-06,-0.0453392,297.067,144149,118464,5.7521e-06,7.3611e-06
1.596e-06,5.75165e-06,-0.044273,296.987,144144,118533,5.75165e-06,7.2114e-06
1.606e-06,5.75121e-06,-0.0433391,296.91,144139,118602,5.75121e-06,7.06459e-06
1.616e-06,5.75078e-06,-0.0425362,296.833,144134,118670,5.75078e-06,6.92081e-06
1.626e-06,5.75036e-06,-0.0418624,296.759,144130,118737,5.75036e-06,6.78023e-06
1.636e-06,5.74994e-06,-0.0413156,296.686,144126,118803,5.74994e-06,6.64297e-06
1.646e-06,5.74953e-06,-0.0408938,296.615,144122,118869,5.74953e-06,6.50918e-06
1.656e-06,5.74913e-06,-0.0405944,296.546,144119,118935,5.74913e-06,6.37898e-06
1.666e-06,5.74872e-06,-0.0404148,296.479,144117,118999,5.74872e-06,6.25247e-06
1.676e-06,5.74832e-06,-0.0403521,296.414,144116,119063,5.74832e-06,6.12978e-06
1.686e-06,5.74791e-06,-0.0404034,296.351,144116,119126,5.74791e-06,6.01099e-06
1.696e-06,5.74751e-06,-0.0405653,296.29,144117,119188,5.74751e-06,5.8962e-06
