node_index,r_m,z_m,pressure_re_pa,pressure_im_pa,pressure_abs_pa,pressure_phase_rad,grad_p_abs_pa_per_m,velocity_abs_m_s,gorkov_potential_j,gorkov_force_r_n,gorkov_force_z_n,gorkov_force_abs_n,candidate_marker,candidate_score
298,0.0037744150141357131,0.039173575230593928,0,-23799.411856167975,23799.411856167975,-1.5707963267948966,12376877.498361779,0.019737888115301895,3.2244542953100023e-16,4.7839379294800519e-14,3.3046876216822442e-14,5.8143806540351079e-14,0,0
299,0.016636948860279759,0.035960675079931878,0,-14498.517868411791,14498.517868411791,-1.5707963267948966,3519066.3566400786,0.0056119920413592716,4.3079709122255276e-17,-5.5885152997484618e-15,2.1206891376647874e-14,2.1930885643686728e-14,0,0
300,0.0068080430987771043,0.023305382010087711,0,15847.509410265817,15847.509410265817,1.5707963267948966,17404086.38533251,0.027754973729699664,5.4768061541611895e-16,3.2354215553157701e-13,-6.096007496285281e-14,3.2923495735643837e-13,0,0
301,0.001523221961826107,0.025801927223241511,0,-118018.06746206566,118018.06746206566,-1.5707963267948966,14907465.547976103,0.023773515340005286,1.8239588769298748e-15,4.0009568947074154e-15,-6.6278873616932612e-14,6.6399523673010134e-14,0,0
302,0.0013763816460469649,0.026594901112623949,0,-122490.11051264804,122490.11051264804,-1.5707963267948966,13342870.660459073,0.021278394996471783,1.8591239194422669e-15,1.6850164004826756e-15,-2.2840970746921531e-14,2.2903039643934179e-14,7,0.42648254678550296
303,0.0094549114322250646,0.03209062267774937,0,45615.526386418802,45615.526386418802,1.5707963267948966,2524034.834605257,0.0040251765577511136,2.2627729374288733e-16,-1.4837538099822328e-14,-1.188113502694707e-14,1.9008258899547526e-14,0,0
304,0.00060812034691099318,0.016414364683756299,0,-59008.612837947185,59008.612837947185,-1.5707963267948966,7324248.4626635667,0.011680264000662546,4.5268889508492617e-16,-1.8323116080618753e-14,1.2020005899206174e-13,1.2158861280810367e-13,0,0
305,0.0075376156218517447,0.012718038999939989,0,22356.821288847827,22356.821288847827,1.5707963267948966,12063183.172314594,0.019237627568104598,3.023511952546589e-16,1.925635328991472e-13,4.8105153554783078e-14,1.9848128375524531e-13,0,0
306,0.0068771379245095993,0.01293377873998839,0,15158.266390641214,15158.266390641214,1.5707963267948966,15075923.481156956,0.024042161760534111,4.1522979431751559e-16,2.187435902685659e-13,5.2821536321301813e-14,2.2503082673919333e-13,0,0
307,0.01265853289723351,0.050462788146794869,-0,17867.24993906065,17867.24993906065,1.5707963267948966,7162864.8851321656,0.011422899330342139,1.2139902018358091e-16,1.2153090331563875e-14,-4.1033106425063885e-15,1.2827110463235964e-14,0,0
308,0.01267849512027929,0.033503832298353291,0,15059.17436506171,15059.17436506171,1.5707963267948966,13740491.274219755,0.021912496060151603,3.4864108685755536e-16,2.6976584002054082e-14,5.9143059913505105e-14,6.5004904586902783e-14,0,0
309,0.013596154604947151,0.033815230974039427,0,2829.9234679089095,2829.9234679089095,1.5707963267948966,12466936.083237631,0.019881508044669156,2.6851907191031074e-16,5.6600082558834459e-14,5.6808663480059998e-14,8.0192229000431077e-14,0,0
310,0.01013444515818738,0.032321591938520668,0,42942.951689017478,42942.951689017478,1.5707963267948966,6288241.1823983174,0.01002810288108935,2.5891871497391282e-16,-5.7635388631858758e-14,-1.015194436332614e-14,5.8522645164939894e-14,0,0
311,0.00070967471276861191,0.031560138856903668,0,-92965.290785222547,92965.290785222547,-1.5707963267948966,13990166.507219277,0.022310662868763775,1.2313731610662458e-15,1.8533119407138956e-14,1.9757799609147226e-13,1.9844530998358488e-13,0,0
312,0,0.032321156450563153,0,-89803.203355771519,89803.203355771519,-1.5707963267948966,13534024.256782699,0.021583235074073968,1.1499492174925581e-15,5.9527294402910336e-14,2.1362479609968468e-13,2.2176350531041533e-13,0,0
313,0.01008814587752511,0.011696178130844359,0,30970.326614960664,30970.326614960664,1.5707963267948966,2819137.378280255,0.0044957880662167245,1.1293577332477665e-16,-3.0936250352862499e-14,-6.5401802100664431e-15,3.1620018075186641e-14,0,0
314,0.0048683548252830382,0.037488595546933713,0,-2314.4008890466271,2314.4008890466271,-1.5707963267948966,14184847.063327581,0.022621127526364131,3.4710166294477172e-16,5.307096386196961e-14,5.5571418103891013e-14,7.6842108998360731e-14,0,0
